circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,NAGAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,7.0,2140.0,22.2
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,POTHREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,139.0,6.75
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY RURAL,PR PALLY (VILLAGE),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,19.0,6299.0,61.28
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,FASALWADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,49,47.0,4250.0,92.65
SANGAREDDY,SANGAREDDY,SANGAREDDY,SANGAREDDY TOWN-I,FRIDAY MARKET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,50,50.0,12027.0,154.11
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,NAGWAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,424.0,7.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,NALLAMPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,20562.0,107.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,PAMPAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,2814.0,10.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,PEEPADPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,7143.0,25.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,RAIKODE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,4597.0,41.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,RAIPALLY (C),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1934.0,8.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,SANGAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,3038.0,20.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,SHAMSHUDDINPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,3084.0,19.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,SHAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,377.0,8.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,SINGITHAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,1665.0,25.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,SIROOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,6017.0,16.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD RURAL,RAIKODE,YOUSUFPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,793.0,5.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,BADAMPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,4670.0,30.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,BILALPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,24.0,13196.0,60.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,CHINTALGHAT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,3841.0,30.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,DIGWAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,56,56.0,15880.0,132.88
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,GOTGARPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,17.0,10856.0,43.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,GURUJWADA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,5458.0,38.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,KAVELLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,20,20.0,4725.0,49.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,KHANAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,1561.0,23.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,KOHEER,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,156,156.0,54708.0,489.3
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,KOTHUR D,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,134.0,4.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,KOTHUR K,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,8.0,6587.0,23.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,MACHIREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,3017.0,13.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,MADRI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,15.0,6625.0,39.63
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,MANYARPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,8936.0,24.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,NAGIREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,7656.0,19.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,PARSAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1301.0,8.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,PICHARAGADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,33,33.0,15079.0,63.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,POTHIREDDYPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,6237.0,30.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,PYDIGUMMAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,25,22.0,6468.0,62.0
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,RAJNELLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,516.0,9.5
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,SAJJAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,3071.0,25.25
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,SIDDAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,15.0,5.75
SANGAREDDY,ZAHEERABAD,ZAHEERABAD TOWN,KOHEER,VENKATAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,9362.0,26.25
