circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,LINGAM PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,4241.0,10.51
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,POSANIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,8.0,828.0,15.76
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,SARAF PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,604.0,9.51
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,SERIRAMREDDYGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,2.0,190.0,7.26
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,SHIVAMPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,19,18.0,3722.0,66.76
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,SULTANPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,10.0,680.0,22.01
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,THADDHANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,100.0,4.26
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,UPPARIGUDEM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,3535.0,7.26
SANGAREDDY,JOGIPET,JOGIPET,CHOUTAKUR,VENDIKOLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,5.0,476.0,10.51
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,ACQUANCHA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,2.0,480.0,5.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,BADAMPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,2.0,220.0,6.88
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,BAHMANGUDA H/O SIKNDLAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,1122.0,16.5
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,BOKKULGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,510.0,1.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,MADHWAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,1872.0,10.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,MANSOORPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,111.0,3.75
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,NAGAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,492.0,13.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,NARAYANKHED,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,70,70.0,48062.0,287.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,NARSAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,941.0,15.0
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,NOMLIMET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,1708.0,16.5
SANGAREDDY,JOGIPET,NARAYANKHED,NARAYANKHED,PAIDIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,287.0,6.0
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,AKSANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,443.0,16.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,ALAMAIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,595.0,6.78
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,ANDOLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,24.0,14974.0,95.28
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,ANNASAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,3549.0,8.26
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,BRAMANPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,628.0,5.25
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,CHANDAMPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,178.0,4.0
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,CHINTAKUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,299.0,9.27
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,DAKOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,37,30.0,9784.0,66.76
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,DANAMPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,1300.0,5.01
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-1,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,32,32.0,14508.0,105.51
SANGAREDDY,JOGIPET,JOGIPET,ANDOLE,JOGIPET TOWN-2,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,22,22.0,7813.0,35.03
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,BORPATLA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,18.0,3389.0,30.5
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,CHANDAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,6.0,1298.0,18.5
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,CHEEK MADDOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,2995.0,17.5
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,CHINTAL CHERU,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,4087.0,25.0
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,DEVAL PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,745.0,7.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,DEVLAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,6.0,465.0,9.75
SANGAREDDY,JOGIPET,JOGIPET,HATHNOORA,DOULTHABAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,32,18.0,3722.0,112.25
